conf	year	passcode	resid	ResourceType	ResourceType_clean	resourceName	resourceName_clean	ResourceProdStatus	ResourceProdStatus_clean	ResourceLang_1	ResourceLang_1_clean	ResourceLang_2	ResourceLang_2_clean	ResourceLang_3	ResourceLang_3_clean	ResourceLang_4	ResourceLang_4_clean	ResourceLang_5	ResourceLang_5_clean	ResourceLang_O	ResourceLang_O_clean	langdim
ACLHT2011	2011	145		Tokenizer		TextPro		Existing-used		Italian												Mono
LREC2012	2012	527		Lexicon		"Apertium Bilingual Dictionary from Spanish-Catalan language pair"		Existing-used		American English 												Mono
IJCNLP2011	2011	36		Lexicon		SentiWordNet		Existing-used		English												Mono
LREC2012	2012	726		Tagger/Parser		FreeLing		Existing-used		French 												Mono
LREC2010	2010	W10_16X-F6J3P3P6H4		"Not Inserted"		"Javadoc doclet corpus generatio tool"		"Newly created-in progress"		Not Applicable												Mono
LREC2010	2010	W06_38X-C4F9E3H4C6		Corpus		SaGA		Existing-used		German												Mono
LREC2010	2010	W04_14X-B3D6A3F3A5		Tagger/Parser		TreeTagger		Existing-used		German												Mono
LREC2010	2010	452X-J2D9B6A4B7		Corpus		TMC		Existing-updated		English		French		German		Italian		Polish				Multi
IS2011	2011	96899		"Annotation Tool"		"Extensible Markup Language for Discourse Annotation (EXMARaLDA) Partitur-Editor"		Existing-used		LI												Mono
LREC2010	2010	192X-E8J6D6P6G6		Corpus		"Mainichi News Paper"		Existing-used		Japanese												Mono
LREC2012	2012	417		Corpus		"Automatic annotated training data for temporal slot filling"		"Newly created-finished"		English 												Mono
COLING2010	2010	827X-D4J8C6F6A3		Corpus		"CoNLL 2005 Dataset"		Existing-used		English												Mono
LREC2010	2010	552X-A5B4H5B5G4		Lexicon		FrameNet		Existing-updated		English												Mono
LREC2010	2010	622X-F8B7B5B4P2		"Annotation Tool"		"Gann - Graphical Annotation Tool"		Existing-used		English												Mono
IS2011	2011	18493		Corpus		"Boston University Radio News Corpus"		Existing-used		English												Mono
LREC2010	2010	W19_6X-D3F6J2P6A3		"Evaluation Data"		"Choose the Right Word Formality Pairs"		"Newly created-finished"		English												Mono
LREC2012	2012	770		Corpus		"Romanian TimeBank corpus"		"Newly created-in progress"		Bulgarian												Mono
COLING2010	2010	525X-C3C9J9A7C9		Corpus		PropBank																"Not Specified"
LREC2010	2010	530X-D4E5G3D6F4		"Conditional Random Fields (CRFs)  tagger"		CRF++		Existing-used		LI												Mono
LREC2010	2010	71X-P6D4E4G9F8		Lexicon		"Asian WordNet"		"Newly created-in progress"		Burmese		Japanese		Korean		Lao		Thai				Multi
LREC2010	2010	538X-G3H4B4A8G9		Corpus		"ECI Multilingual Text Corpus"		Existing-used		Albanian		Bulgarian		Croatian		Czech		Danish				Multi
COLING2010	2010	544X-G5D6H2G9J6		Lexicon		Lexicon		Existing-used		Hindi												Mono
LREC2012	2012	195		"Named Entity Recogniser"		"Illinois Named Entity Tagger"		Existing-updated		Not Applicable												Mono
LREC2010	2010	394X-G8E9A4J6G7		Corpus		KALAKA		"Newly created-finished"		Basque		Catalan		Galician		Spanish						Multi
LREC2012	2012	515		Terminology		"SNOMED CT"		Existing-used		Latin 												Mono
RANLP2011	2011	41		Lexicon		"Beygingarlýsing íslensks nútímamáls (BÍN)"		Existing-used		Icelandic												Mono
COLING2010	2010	229X-B9C3J6B3C9		Corpus		"English Penn Treebank, Chinese Penn Treebank"		Existing-updated		Chinese		English										Bi
IJCNLP2011	2011	278		Lexicon		"EDR Electronic Dictionary"		Existing-used		Japanese												Mono
LREC2010	2010	629X-P6E7H2P3C6		Ontology		"You tube"		Existing-used		LI												Mono
LREC2012	2012	771		Lexicon		"Weighted Lexicon of Event Nouns"		"Newly created-finished"		American English 												Mono
LREC2012	2012	698		Corpus		TED-LIUM		"Newly created-in progress"		Egyptian Arabic		Gulf Arabic		Levantine Arabic								Tri
LREC2010	2010	548X-J9F2A4F4G8		Lexicon		"UMLS Specialist Lexicon"		Existing-used		English												Mono
LREC2010	2010	558X-B4H3C2A5G2		"Annotation Tool"		SelectPOS		Existing-used		Arabic												Mono
COLING2010	2010	189X-G6A6P9D3J8		"Annotation Tool"		NLTK		Existing-used		English												Mono
IJCNLP2011	2011	198		Lexicon		WordNet																"Not Specified"
LREC2010	2010	899X-F6H9J6H3D6		"parallel grid execution environment for HLT tools"		"Human Language Tehcnology Virtual Organization"		"Newly created-in progress"		LI												Mono
LREC2010	2010	757X-B6D6J3D3A8		Lexicon		"CICC Indonesian Basic Dictionary"		Existing-updated		English		Indonesian										Bi
LREC2010	2010	117X-C3E4H3C9B3		"Grammar/Language Model"		"Link Grammar"		Existing-used		English												Mono
COLING2010	2010	240X-G8F9H2B6J5		"Evaluation Data"		"answer selection dataset"		Existing-used		English												Mono
LREC2012	2012	618		"Annotation Tool"		Ajka		Existing-used		American English 		Dutch 		German 								Tri
LREC2010	2010	147X-J9B6A5J6C5		"terminological database"		FISCALDB		"Newly created-in progress"		Italian												Mono
LREC2012	2012	635		Corpus		Nomco		"Newly created-in progress"		French 												Mono
LREC2010	2010	784X-H9E6C3J4J6		Lexicon		Zaya		Existing-used		Persian												Mono
LREC2010	2010	434X-H6A9E7C7P5		Corpus		"Kurzprotokolle des deutschen Bundeskabinetts"		Existing-used		German												Mono
LREC2010	2010	W15_7X-H3J3F6D6C6		"Word Sense Disambiguator"		"SenseLearner 2.0"		Existing-updated		English												Mono
LREC2012	2012	433		Tagger/Parser		"Greek POS Tagger"		Existing-used		Chinese		Koine Greek										Bi
LREC2010	2010	W10_7X-E4P5D4G6C3		"Named Entity Recogniser"		"Automatic Annotator software"		"Newly created-finished"		English (mainly)		WSDL										Bi
