conf	year	passcode	resid	ResourceType	ResourceType_clean	resourceName	resourceName_clean	ResourceProdStatus	ResourceProdStatus_clean	ResourceLang_1	ResourceLang_1_clean	ResourceLang_2	ResourceLang_2_clean	ResourceLang_3	ResourceLang_3_clean	ResourceLang_4	ResourceLang_4_clean	ResourceLang_5	ResourceLang_5_clean	ResourceLang_O	ResourceLang_O_clean	langdim
COLING2010	2010	461X-J9G7B6F6E8		Tagger/Parser		"Stanford Log-linear Part-Of-Speech Tagger"																"Not Specified"
LREC2010	2010	820X-D3F4D6J3F3		Corpus		"TSR Corpus"		"Newly created-in progress"		English												Mono
O-COCOSDA2011	2011	10		Corpus		"Pronunciation Errors from Learners of English Coprus and Annotation (PELECAN)"		"Newly created-finished"														Mono
LREC2010	2010	576X-A5E3F3G5H7		"Signal Processing/Feature Extraction"		"FFV Spectrum Computation in Snack Sound Toolkit"		"Newly created-finished"		LI												Mono
LREC2012	2012	900		"Annotation Tool"		"an XML Based System For Corpora Development (CLaRK)"		Existing-used		LI												Mono
COLING2010	2010	439X-E3B6B7F9J3		Lexicon		SentiFul		Existing-updated														"Not Specified"
LREC2010	2010	77X-G9J6G5B3D6		Corpus		"Bank of Russian Constructions and Valencies"		"Newly created-in progress"		Russian												Mono
LREC2010	2010	312X-B7E7D2A6C3		"Representation-Annotation Standard/Best Practice"		"ISO 639-3"		Existing-used		English		French										Bi
LREC2010	2010	W21_2X-A9C8G5A6J6		"Representation-Annotation Formalism/Guidelines"		"Guidelines for the Syntactic Annotation of Latin Treebanks"		Existing-used		Latin												Mono
LREC2012	2012	871		Corpus		"Multi Layered Hindi Dependency Treebank"		"Newly created-in progress"		LI												Mono
ACLHT2011	2011	434		Corpus		"Diversity in Collective Discourse"		"Newly created-in progress"		English												Mono
COLING2010	2010	685X-F5G5A2A5D3		Corpus		"WMT 2009 dataset"		Existing-used		English		German										Bi
LTC2011	2011	76				OntoGen		Existing-used														"Not Specified"
COLING2010	2010	763X-F9D6A4J2H3		Corpus		de-news																"Not Specified"
LREC2010	2010	837X-P3A6D6F4C8		"Evaluation Data"		"MetricsMATR08 development data"		Existing-used		English												Mono
LREC2012	2012	611		Corpus		"Minho Quotation Resource"		"Newly created-finished"		Catalan 		English 		Spanish 								Tri
COLING2010	2010	808X-H3E3E4H2A4		Corpus		Yahoo!Answers		Existing-used		English												Mono
LREC2010	2010	W12_12X-C5D5C7H8D8		Corpus		CRPC		"Newly created-finished"		Portuguese												Mono
LREC2010	2010	334X-G6H7F9C3G8		"Ontology Editor"		Protégé		Existing-used		LI												Mono
LREC2012	2012	126		Corpus		"Speech Database in Basque for Synthesis and Voice Conversion (AhoSpeakers)"		"Newly created-finished"		Not Applicable												Mono
LREC2010	2010	539X-G5G3E4D4E9		"Annotation Tool"		"The Wiki Machine"		"Newly created-in progress"		LI												Mono
RANLP2011	2011	132		Lexicon		"Buckwalter lexicon"		Existing-used		Arabic												Mono
COLING2010	2010	248X-D2F4P3J3C6		Tokenizer		"Chinese Language Technology Platform"																"Not Specified"
LREC2010	2010	488X-J2P3C9H4H4		"Not Inserted"		"Augmented RTE-5 Search Data Set"		"Newly created-in progress"		English												Mono
COLING2010	2010	177X-P2F6H3D2E4		Corpus		"FBIS Corpus"		Existing-used		Chinese		English										Bi
LREC2012	2012	585		Tagger/Parser		"Turkish Dependency Parser"		Existing-used		French 												Mono
LREC2010	2010	57X-B3F5J3G2P3		"Tool for lexical resources management and query expansion"		WS4LR		"Newly created-finished"		LI												Mono
LREC2010	2010	217X-G4F7E4C9G3		"Representation-Annotation Standard/Best Practice"		libiXML		Existing-used		LI												Mono
LREC2010	2010	112X-P6H6B5B2C4		"Formal grammar for parser generation"		AVALON		"Newly created-in progress"		Spanish												Mono
COLING2010	2010	323X-A3B8G8C3C2		"Manipuri Stemmer"		"Manipuri Stemmer"		Existing-used		Manipuri												Mono
LREC2012	2012	163		Corpus		WebCAGe		"Newly created-finished"		Estonian												Mono
LREC2012	2012	124		Tagger/Parser		TreeTagger		Existing-used		English		Swedish										Bi
COLING2010	2010	388X-D9P6E3J8E3		Tagger/Parser		LTP		Existing-used		Chinese												Mono
IS2011	2011	46594		"Annotation Tool"		WinPitch		Existing-updated		LI												Mono
COLING2010	2010	650X-F8F6C5P8F6		Corpus		"Evaluation of BioExcom on the BioScope corpus"		"Newly created-in progress"		english												Mono
IS2011	2011	42862		Corpus		"Utsunomiya University Spoken Dialogue Database for Paralinguistic Information Studies"		Existing-used		Japanese												Mono
RANLP2011	2011	171		Corpus		"STEVIN Nederlandstalig Referentiecorpus (SoNaR)"		"Newly created-in progress"		Dutch												Mono
LREC2010	2010	756X-P9B3H6E3J9		Corpus		IIIT-Tides		Existing-updated		English		Hindi										Bi
LREC2012	2012	957		"Evaluation Tool"		"language generation evaluation toolkit (lg-eval)"		"Newly created-finished"		LI												Mono
LREC2010	2010	533X-E2G8J9H6P4		Corpus		WAPUSK20		"Newly created-finished"		English												Mono
LREC2012	2012	525		Lexicon		"Syntactic lexicon for French (Lefff)"		Existing-used		Swedish 												Mono
LREC2012	2012	833		Corpus		"Old Hungarian Corpus"		"Newly created-in progress"		Pushto 												Mono
LREC2010	2010	W01_28X-B6A6B2P4G4		Corpus		"Arabic Treebank Part3 - Version 3.1"		Existing-used		Arabic												Mono
COLING2010	2010	183X-C7D3G2P9E4		Lexicon		"PT-EN /EN-PT translation lexicon"		"Newly created-in progress"		English		Portuguese										Bi
LREC2010	2010	W01_4X-H5G6C3B3G5		"Grammar/Language Model"		"Resource grammar in GF"		"Newly created-in progress"		Hebrew		Maltese										Bi
LREC2012	2012	307		"Annotation Tool"		iula2standoff		"Newly created-in progress"		Bulgarian 		English 										Bi
COLING2010	2010	378X-P3J6C9H9J2		Lexicon		"SentiWordNet (Bengali)"		"Newly created-in progress"		Bengali												Mono
COLING2010	2010	26X-F2C3A7B5F6		Ontology		"Multi-media Multi-lingual concept, relation and event annotated corpus"		"Newly created-finished"		Chinese and Arabic		English										Bi
LREC2010	2010	164X-H3H6A3G5C6		Corpus		"National Corpus of Polish"		"Newly created-in progress"		Polish												Mono
RANLP2011	2011	121		Corpus		"Corpora for Named Entity Recognition of Chemical Compounds (IUPAC Corpus)"		Existing-used														"Not Specified"
IJCNLP2011	2011	199		Corpus		Europarl		Existing-used		English		German		Spanish								Tri
LREC2012	2012	672		"Corpus Tool"		Manhattan				American English 												Mono
RANLP2011	2011	94		Corpus		RoGER		"Newly created-finished"		English		German		Romanian		Russian						Multi
LREC2010	2010	592X-C5A3F8D4B3		Lexicon		"French and English  Contexonym Databases"		Existing-used		English		French										Bi
LREC2010	2010	147X-J9B6A5J6C5		Lexicon		EuroWordNet		Existing-used		English												Mono
LREC2010	2010	358X-E3P7P2B6J7		"Annotation Tool"		Accentuator		"Newly created-finished"		Russian												Mono
COLING2010	2010	651X-C2C2F9P3G3		Tagger/Parser		"Stanford Dependency Parser"																"Not Specified"
LREC2012	2012	446		"Annotation Tool"		Inforex		"Newly created-in progress"		Australian English												Mono
LREC2010	2010	248X-H6C3B9D6D7		Corpus		CASIA-CASSIL		"Newly created-in progress"		Chinese												Mono
LREC2012	2012	664		Tagger/Parser		"Stanford Parser"		Existing-updated		Chinese		English										Bi
RANLP2011	2011	134		Tagger/Parser		"PRObability-based PROlog-implemented Parser for RObust Grammatical Relation Extraction System (Pro3Gres)"		Existing-updated		English		German										Bi
LREC2010	2010	318X-G6F2P5D9F4		Lexicon		"Afrikaans Word Lists"		Existing-used		Afrikaans												Mono
LREC2010	2010	284X-A3B9B6B6C7		"Knowledge representation tool"		"FunGramKB Suite"		Existing-used		Not Applicable												Mono
LREC2012	2012	812		Corpus		"Quaero Terminology Extraction Evaluation Patents Corpus"		"Newly created-finished"		Dutch 												Mono
LREC2010	2010	299X-D9J3H7D5G7		Corpus		"Austrian Phonetic Database (ADABA)"		Existing-used		German												Mono
LREC2010	2010	655X-C7E3J9G7H9		Lexicon		"Japanese WordNet"		Existing-used		Japanese												Mono
COLING2010	2010	701X-E4G7E7H9P7		Corpus		"Robocup sportscasting corpus"		Existing-used		English		Korean										Bi
COLING2010	2010	528X-C7J2P6D5A3		Corpus		"Russian corpus"		Existing-used		Russian												Mono
LREC2010	2010	665X-G3E8C6J8F2		Lexicon		"Romanian Generative Lexicon"		"Newly created-in progress"		Romanian												Mono
ACLHT2011	2011	144		Corpus		"Penn Treebank"		Existing-used		English												Mono
COLING2010	2010	438X-P6P6D6P3F4		Lexicon		"WorNet 3.0"		Existing-used		English												Mono
LREC2010	2010	833X-B6F9B7E4F9		"Machine Translator"		J-Server		"Newly created-in progress"		Chinese		English		Japanese		Korean						Multi
LREC2010	2010	862X-B7A2P5G8J7		Corpus		"Machine Reading P1 NFL Scoring Training Data (LDC2009E112)"		Existing-used		English												Mono
LREC2012	2012	1114		Corpus		"Annotated Film Dialogue Corpus"		"Newly created-in progress"		Romanian 												Mono
LREC2010	2010	511X-G4H3P7B6G4		Corpus		Kemo/Demo		"Newly created-in progress"		Dutch		Korean										Bi
COLING2010	2010	179X-D9G9P6B3D9		Tagger/Parser		mstparser																"Not Specified"
IJCNLP2011	2011	345		"Annotation Tool"		MMAX																"Not Specified"
RANLP2011	2011	49		Corpus		FrameNet		Existing-used		English												Mono
LREC2010	2010	443X-J6F5P7E9G7		"SMT tool"		Moses		Existing-used		LI												Mono
LREC2012	2012	680		Corpus		"STEVIN Nederlandstalig Referentiecorpus (SoNaR)"		"Newly created-finished"		LI												Mono
LREC2012	2012	950		Corpus		"Interrogatio Anselmi"		"Newly created-in progress"		Bulgarian 		English 										Bi
COLING2010	2010	214X-G3C6H9F3B6		Corpus		"Penn Treebank"		Existing-used		English												Mono
IS2011	2011	62431		"Speech Recognizer/Transcriber"		Phonetisaurus		"Newly created-in progress"		LI												Mono
LREC2010	2010	823X-P7F7J7P4F6		"Evaluation Methodology/Formalism/Guidelines"		"Constrative Lexical Evaluation of Machine Translation"		"Newly created-finished"		LI												Mono
LREC2012	2012	669		Tagger/Parser		MaltParser		Existing-used		English 												Mono
IJCNLP2011	2011	352		Corpus		"Darpa TIDES Surprise Language Dataset"		"Newly created-in progress"		Hindi												Mono
COLING2010	2010	377X-A3F5C3A6D5		Corpus		"Uyghur to Chinese MT corpus (UCC)"		"Newly created-finished"		Chinese		Uyghur										Bi
LREC2012	2012	812		Corpus		"Quaero Terminology Extraction Evaluation Abstracts Corpus"		"Newly created-finished"		Dutch 												Mono
IS2011	2011	45076		Corpus		"SpeechDat(II) EN"		Existing-used		British English												Mono
LREC2010	2010	472X-A6H6F8J8D5		Corpus		"Diabetes and cancer monolingual comparable corpora"		"Newly created-finished"		English												Mono
LREC2010	2010	713X-P3F9H4C9J2		Corpus		"PAROLE sottinsieme"		Existing-used		Italian												Mono
LREC2012	2012	797		Ontology		"Associative Concept Dictionary (ACD)"		Existing-used		Croatian 												Mono
LREC2010	2010	W12_5X-D6H7H3P3F8		Corpus		"Comparable Corpora for EU Languages"		"Newly created-in progress"		Croatian		English		Estonian		German		Greek				Multi
LREC2010	2010	320X-P9A3P3H4A3		Lexicon		"Swedish fuzzy wordnet"		"Newly created-in progress"		Swedish												Mono
LREC2010	2010	571X-P6H6J3B2F3		"Evaluation Methodology/Formalism/Guidelines"		"TIGR Evaluation Methodolgy / Guide"		"Newly created-in progress"		English												Mono
LREC2010	2010	656X-A6C3J9E3B6		Corpus		"Yahoo!-TREC Question Corpus"		"Newly created-in progress"		English												Mono
LREC2010	2010	738X-E6B5E5E7P6		Corpus		"Syntax-oriented corpus of Portuguese Dialects - CORDIAL-SIN"		"Newly created-in progress"		European Portuguese Dialects												Mono
LREC2010	2010	708X-A3G6D6C9D7		Tagger/Parser		MuNPEx		Existing-used		English		French		German		Spanish						Multi
LREC2010	2010	65X-P8G7P6P6E6		concordancer		FastKwic		"Newly created-finished"		English		French										Bi
LREC2012	2012	457		"Machine Translation Tool"		LetsMT!		"Newly created-in progress"		Danish 												Mono
LREC2012	2012	623		Corpus		"Quaero Football Corpus"		"Newly created-finished"		Hungarian 		Russian 										Bi
LREC2012	2012	1036		Corpus		"Social Constructs - Pursuit of power"		"Newly created-in progress"		English 												Mono
LREC2012	2012	277		Corpus		"Arabic-English Parallel Aligned Treebanks"		"Newly created-finished"		Arabic		English										Bi
ACLHT2011	2011	51		"Not Assigned"		Moses		Existing-used		LI												Mono
LREC2010	2010	155X-H3F3H5E4C6		"morphological analyzer"		"Stripey Zebra"		Existing-used		German												Mono
COLING2010	2010	616X-C2C4G2P3G6		"Evaluation Data"		"BAF corpus"		Existing-updated		English		French										Bi
LREC2012	2012	308		Corpus		"Chronolines Corpus"		"Newly created-in progress"		French		Italian		Portuguese		Spanish 						Multi
LREC2010	2010	541X-B3E6J3E6A5		"Paragraph splitting and sentence alignment for parallel corpus"		RecAlign		Existing-used		LI												Mono
LREC2010	2010	W06_30X-B6H6F5P6B6		Database		"Semaine Database"		Existing-used		English												Mono
LREC2010	2010	W19_3X-H4F8G4D2F5		"Word Alignment Tool"		GIZA++		Existing-used		LI												Mono
LREC2010	2010	838X-A8F4J6A4A3		Lexicon		REBECA		"Newly created-in progress"		LI												Mono
LREC2012	2012	843		Corpus		"Arabic Gigaword"		Existing-used		Standard Arabic 												Mono
LREC2010	2010	W13_15X-P3A9F7E4G3		Corpus		"AVATecH database"		"Newly created-in progress"		Not Applicable												Mono
LREC2010	2010	701X-J3E8H7J7C9		Lexicon		Lefff		Existing-used		French												Mono
COLING2010	2010	142X-B9G6E4A4F5		Lexicon		"english to hindi dictionary shabdakoSha"		Existing-used		English		Hindi										Bi
COLING2010	2010	578X-A6F8H9C6B6		Lexicon		SentiWordNet		Existing-used		English												Mono
LREC2010	2010	W19_9X-P6G4G7B4C2		Tagger/Parser		Hunmorph		Existing-used		LI												Mono
LREC2012	2012	382		"Machine Translation Tool"		PEXACC		"Newly created-finished"		LI												Mono
LREC2012	2012	731		Ontology		EventMapping.rdf		"Newly created-in progress"		Welsh 												Mono
LREC2010	2010	W13_14X-H2P4J9A4H6		Corpus		"RWTH Phoenix Weather Forecast"		Existing-updated		German		German Sign Language										Bi
LREC2010	2010	409X-P3D2G3D6P7		"morphological analyser"		"Stuttgart MORPhology (SMOR)"		Existing-used		German												Mono
COLING2010	2010	316X-J4F8B4C4F2		Lexicon		WordNet		Existing-used		English												Mono
LREC2010	2010	114X-J6F6F2C4D4		Corpus		PropBank		Existing-used		English												Mono
LREC2010	2010	675X-B8G3P3H7P4		Corpus		"ICT corpus for speech recognition evaluation"		"Newly created-in progress"		English												Mono
COLING2010	2010	491X-P4J3G8H6D3		Corpus		"English Web as Corpus (ukWaC)"		Existing-used		English												Mono
COLING2010	2010	98X-A9H7B4C2P3		Corpus		WikiXMLDumpTextExtractor		"Newly created-in progress"		LI												Mono
LREC2010	2010	W09_6X-A8D3F5C3J3		Tagger/Parser		"Link Parser"		Existing-updated		English												Mono
LTC2011	2011	67		Corpus		RoGER		"Newly created-finished"														Mono
LREC2010	2010	827X-D3J2E2E2C5		Corpus		Wikipedia		Existing-updated		fr												Mono
LREC2010	2010	329X-G3G7A8G5G8		Corpus		"Annotated Corpus of Difficult-Antecedent Referring Expressions (DAREs)"		"Newly created-in progress"		English												Mono
COLING2010	2010	242X-H6H2C4E4A6		"APIs for ontology management"		Jena																"Not Specified"
LREC2010	2010	790X-B6F5B3H9F5		Lexicon		"Galician lexicon"		"Newly created-finished"		Galician												Mono
LREC2010	2010	92X-H9E4H7A5F8		"Evaluation Methodology/Formalism/Guidelines"		"OntoTag's abstract architecture"		"Newly created-finished"		LI												Mono
COLING2010	2010	358X-B6H2D8D4E6		Corpus		"GENIA treebank"		Existing-used		English												Mono
LREC2010	2010	W13_4X-B6F4P6A6J8		"Annotation Tool"		iLex		Existing-used		LI												Mono
LREC2010	2010	787X-B6E6C7E3G8		Corpus		"The ABLE biodiversity corpus"		"Newly created-in progress"		English												Mono
LREC2010	2010	215X-E3P8J6C3F7		"Evaluation Tool"		trec_eval		Existing-used		LI												Mono
LREC2010	2010	624X-F7D3P4H8F3		"word aligner"		GIZA++		Existing-used		LI												Mono
LREC2012	2012	1111		Lexicon		EMO_Events		"Newly created-in progress"		English 												Mono
LREC2012	2012	527		Lexicon		"Apertium Catalan Monolingual Dictionary from Spanish-Catalan language pair"		Existing-used		German 												Mono
COLING2010	2010	176X-P3G2J8B9C9		Corpus		"Text summarization corpus for the credibility of information on the Web"		"Newly created-in progress"		Japanese												Mono
COLING2010	2010	24X-C2P2C9J5J8		Corpus		"Event Annotated Carbon Sequestration data"		"Newly created-finished"		English												Mono
LREC2010	2010	457X-G3B2H4D2F6		Corpus		AC/DC		Existing-updated		Portuguese												Mono
COLING2010	2010	525X-C3C9J9A7C9		Tagger/Parser		OpenNLP																"Not Specified"
COLING2010	2010	323X-A3B8G8C3C2		"Word Alignment Tool"		GIZA++																"Not Specified"
LREC2010	2010	W24_5X-A7G5H2C7E3		Corpus		"Mind Reading"		Existing-used		English												Mono
LREC2010	2010	W06_6X-J3B3G9A7F6		"Annotation Tool"		VICLO		"Newly created-in progress"		LI												Mono
COLING2010	2010	585X-C2G4P6J5P6		"machine learning package"		Libsvm		Existing-used														"Not Specified"
IJCNLP2011	2011	214		Tagger/Parser		"Kyoto Text Analysis Toolkit (KyTea)"		Existing-used		Chinese		Japanese										Bi
LREC2010	2010	405X-P3D6G3F9P6		Metadata		Arbil		"Newly created-in progress"		LI												Mono
LREC2010	2010	826X-F3D3F6F3P8		Corpus		"Delicious dataset"		"Newly created-finished"		LI												Mono
IJCNLP2011	2011	346		Tagger/Parser		"a User-Extensible Morphological Analyzer for Japanese (JUMAN)"		Existing-used		Japanese												Mono
LREC2010	2010	761X-B8A8A8F4F4		Corpus		"Morphosyntactically annotated Greek corpus"		Existing-used		Greek												Mono
LREC2010	2010	206X-B7B3G3C5A7		Corpus		RCV1		Existing-used		English												Mono
LREC2010	2010	438X-H2B6E3E9D6		Corpus		"spoken language samples for the South African official languages"		"Newly created-in progress"		Khwedam		Ndebele		S. Sotho		Xhosa		Zulu				Multi
LREC2010	2010	458X-E6J6J7J3E2		Lemmatizer		TTL		Existing-used		English		French		Romanian								Tri
LREC2010	2010	W24_8X-H4G5D6P5D7		Corpus		"Digg dataset"		"Newly created-finished"		English												Mono
COLING2010	2010	314X-B6G2C6A4D9		Corpus		"Bi-sentences,lexicon LDC2005T34,Name Entity LDC2005T34"		Existing-used		Chinese		English										Bi
LREC2010	2010	609X-J4B3A8F6C5		Corpus		"LT4eL English Learning Objects"		Existing-used		English												Mono
COLING2010	2010	664X-H4G9C9A4E6		"Evaluation Data"		"Indic Language Transliteration Data"		"Newly created-finished"		Bangla		Hindi		Telugu								Tri
LREC2010	2010	233X-B8G7E7E3G6		"Tools for querying a tagged N-gram database"		"Tools for web-scale N-grams"		"Newly created-finished"		LI												Mono
LREC2010	2010	939X-F2H7F8A3A6		Lexicon		"Hindi Wordnet"		Existing-used		Not Applicable												Mono
LREC2012	2012	737		Corpus		"Polish Multimodal Corpus"		"Newly created-in progress"		English		French										Bi
LTC2011	2011	21		Tagger/Parser		"Automatic Syntactic Analysis for Polish Language (ASA-PL)"		Existing-used														Mono
LREC2010	2010	623X-F6E3H3C7G8		Corpus		"Pilot Arabic CCGbank"		"Newly created-in progress"		Arabic												Mono
LREC2012	2012	999		Lexicon		GermanSentiStrengthLexicon		Existing-updated		American English 												Mono
LREC2010	2010	833X-B6F9B7E4F9		Lexicon		EDR		Existing-used		English		Japanese										Bi
IJCNLP2011	2011	42		Corpus		"Biomedical Gene Mention Linking Corpus"		"Newly created-finished"		English												Mono
LREC2010	2010	722X-H5P4C3E4B3		"translation model"		GIZA++		Existing-used		LI												Mono
LREC2012	2012	363		Ontology		"Temporal Entailment Rules for RDFS and OWL-Horst dialect"		"Newly created-finished"		French 												Mono
COLING2010	2010	524X-B4A9D5P3G3		Corpus		"English Gigaword Corpus Fourth Edition"		Existing-used		English												Mono
LREC2012	2012	951		"Evaluation Data"		"Yahoo Chiebukuro Corpus Humor Index"		"Newly created-in progress"		German 												Mono
COLING2010	2010	352X-A9P6B6F7C3		Corpus		"500M Japanese Sentences on the Web"		Existing-used		LI												Mono
LREC2012	2012	705		Lexicon		"Kyrgyz to Chinese Dictionary Database"		"Newly created-finished"		LI												Mono
LREC2010	2010	W10_3X-D4D4B7D4P8		"Clinical NLP Pipeline"		cTAKES		Existing-used		English												Mono
COLING2010	2010	659X-A7G8G6D3D8		Corpus		"Tiger treebank"		Existing-used		German												Mono
LREC2010	2010	134X-D7C8F2E6B3		Lexicon		Wiktionary		Existing-updated		German												Mono
LREC2010	2010	703X-P2D3B9E6B9		Ontology		Species2000		"Newly created-in progress"		Chinese		Dutch		English		Italian		Spanish				Multi
LREC2010	2010	W13_30X-D3J9F2G6B6		Corpus		"CUNY ASL Motion-Capture Corpus"		"Newly created-in progress"		American Sign Language												Mono
LREC2010	2010	178X-A3F6E9F8G3		Tagger/Parser		DeSR		Existing-used		LI												Mono
LREC2012	2012	419		Corpus		SDEWAC		"Newly created-in progress"		French 												Mono
LREC2012	2012	826		"Morphological Analyzer/Generator"		Pimorfo		"Newly created-in progress"		Dutch		English										Bi
LREC2010	2010	916X-P3A8A6J9C6		"A Geoparsing engine"		"Toponym Ontology Geocoding Service (TOGS)"		"Newly created-in progress"		English												Mono
RANLP2011	2011	23		Corpus		"TüBa-D/Z connective annotation"		"Newly created-in progress"		German												Mono
LREC2010	2010	589X-J7G4P8A7H4		Lexicon		"an online Chinese-English biomedical dictionary"		Existing-used		Chinese		English										Bi
LREC2010	2010	559X-C8J6J3F8A4		Tagger/Parser		"Morphological tagger of the Hungarian National Corpus"		Existing-used		Hungarian												Mono
LREC2010	2010	W16_6X-F4J7A6H6G3		"Named Entity Recogniser"		SxPipe/NP		Existing-used		French												Mono
COLING2010	2010	439X-E3B6B7F9J3		Corpus		"Sentences from Experience Project"		"Newly created-finished"		English												Mono
LREC2010	2010	890X-P7F3C3P3C6		Corpus		"The PIT Corpus of German Multi-Party Dialogues"		Existing-used		German												Mono
LREC2010	2010	105X-A2P6H2C9G6		"Grammar/Language Model"		"A fragment of Northern Sotho grammar: The verb of Northern Sotho"		"Newly created-finished"		Northern Sotho (Sepedi)												Mono
LREC2010	2010	426X-A7H9J5E8F7		"Language model toolkit"		SRILM		Existing-used		LI												Mono
LREC2012	2012	992		"Annotation Tool"		"Flexible Error Annotation Tool (feat)"		"Newly created-finished"		LI												Mono
COLING2010	2010	707X-A4D8A3B2E5		Corpus		"English Entity Detection and Tracking corpus for 2004 ACE project"		Existing-used		English												Mono
LREC2010	2010	314X-F6A2B6D8J2		"Text-to-speech synthesis front end"		"Fonema TTS front end"		Existing-used		Norwegian												Mono
LREC2010	2010	847X-D4C6J3A8C2		Corpus		BNC		Existing-used		English												Mono
LREC2012	2012	606		Corpus		"Dutch Parallel Corpus (DPC) (subpart)"		"Newly created-finished"		Italian												Mono
LREC2012	2012	489		Terminology		"Glossary of International Relations (GLOSSIR)"		"Newly created-in progress"		English 												Mono
COLING2010	2010	671X-H8C4C4C8B4		Corpus		"Penn Treebank"		Existing-used		English												Mono
LREC2012	2012	521		Corpus		"Stockholm EPR Clinical Entity Corpus"		"Newly created-in progress"		French 												Mono
LREC2010	2010	903X-C3G6E9G8P6		Corpus		Propbank		"Some are newly created-in progress, some are existing-updated"		LI												Mono
COLING2010	2010	716X-C6J4J3C6F4		Corpus		RWSCor		"Newly created-in progress"		English												Mono
LREC2010	2010	203X-G4B6E5H4C9		Lexicon		"Lymba's abbreviation dictionary"		"Newly created-finished"		English												Mono
LREC2012	2012	799		Corpus		"South-East European Times"		Existing-updated		French 												Mono
LREC2012	2012	944		"Coreference Resolution Toolkit"		"a Beautiful Anaphora Resolution Toolkit (BART)"		Existing-used		French												Mono
LREC2010	2010	205X-D4E5G7B6E7		"platform for semantic processing of text"		"KYOTO-architecture / Knowledge Yielding Ontologies for Transition-based Organizationâ€™ - architecture"		Existing-updated		Basque		Dutch		English		Italian		Spanish				Multi
COLING2010	2010	732X-B4A9D8D2H6		Corpus		"The 4 Universities' dataset"		Existing-used		English												Mono
LREC2010	2010	498X-J3H6J3G7G7		Corpus		"A Dynamic HPSG Treebank of the Wall Street Journal sections of the Penn Treebank"		"Newly created-in progress"		English												Mono
LREC2010	2010	577X-F6J4E5D8G7		Corpus		"The AIMed corpus"		Existing-used		English												Mono
LREC2010	2010	W13_13X-J9C5B4D3E7		Tagger/Parser		"Sign Language Pose Estimation 3D Parse Trees"		"Newly created-in progress"		South African Sign Language												Mono
LREC2010	2010	670X-F8E8B2J2E3		Corpus		"GALE Phase 5 Chinese Parallel Word Alignment and Tagging Part 1"		"Newly created-finished"		Chinese		English										Bi
LREC2010	2010	W08_4X-A8F4F4F6F6		Lexicon		"è°·æ­Œé‡‘å±±è¯éœ¸2.0 (Google and Kingsoft Dictionary 2.0)"		Existing-used		Chinese		English										Bi
ACLHT2011	2011	117		Corpus		ConVote		Existing-used		English												Mono
LREC2010	2010	W10_11X-G3A5F3H3H3		Corpus		"Czech Digital Mathematics Library, DML-CZ"		Existing-used		cs		en		fr		it		ru				Multi
LREC2012	2012	724		Corpus		"Dependency Part of BulTreeBank (BulTreeBank-DP)"		Existing-used		Bulgarian												Mono
LREC2010	2010	125X-A9C3P4P2G9		Corpus		"Corpus Chaines de Reference (CoChainRef)"		"Newly created-in progress"		French												Mono
LREC2010	2010	879X-D3A6B2B6E7		"Annotation Tool"		TrEd		Existing-used		LI												Mono
LREC2012	2012	195		Corpus		"Sentiment-annotated set of quotations"		Existing-used		Danish 		English 										Bi
LREC2012	2012	646		Corpus		"Quranic Arabic Corpus"		Existing-used		American English 		Catalan 		Spanish 								Tri
LREC2010	2010	426X-A7H9J5E8F7		"Evaluation Methodology/Formalism/Guidelines"		Bleu		Existing-used		LI												Mono
IJCNLP2011	2011	410		Corpus				Existing-used														"Not Specified"
LREC2012	2012	669		"Annotation Tool"		"Intra Chunk Dependency Parser"		"Newly created-in progress"		English 		Portuguese 										Bi
LREC2010	2010	96X-B3G6B6B6F3		Corpus		"The ESP_C Corpus"		Existing-used		Japanese												Mono
LREC2012	2012	610		Tagger/Parser		LGTagger		Existing-updated		French 												Mono
COLING2010	2010	60X-G7E8E3F6A5		Corpus		Wikipedia		Existing-updated		English												Mono
LREC2012	2012	618		"Machine Learning Tool"		"A Library for Support Vector Machines (LibSVM)"		Existing-used		English 												Mono
LREC2010	2010	W24_7X-J5H6G5G6B7		Lexicon		WordNet-Affect-OCC		"Newly created-finished"		English												Mono
LREC2010	2010	558X-B4H3C2A5G2		Tagger/Parser		"The Bikel Statistical Parsing Engine"		Existing-used		LI												Mono
COLING2010	2010	751X-C3D6P8D3G8		Corpus		ChineseBookDescriptionWithTags		Existing-used		Chinese												Mono
IS2011	2011	17775		Corpus		"Czech Speecon database"		Existing-used		Czech												Mono
LREC2012	2012	753		Corpus		"Multi Layered Hindi Dependency Treebank"		"Newly created-in progress"		Iranian Persian 												Mono
LREC2010	2010	657X-P7A2A6G3G6		"System for lexical acquisition"		"A system for automatically identifying changes in the semantic orientation of words"		"Newly created-in progress"		English												Mono
LTC2011	2011	71		Lexicon		GeneralLexicon_Fr-En		Existing-used														Mono
LREC2010	2010	211X-F6C5H3C9J8		Corpus		"ESTER 2005 database development set"		Existing-used		French												Mono
COLING2010	2010	342X-H4G6G4G4G3		Tagger/Parser		TreeTagger		Existing-used		English		German										Bi
LREC2012	2012	190		"Evaluation Data"		QurSim		"Newly created-finished"		Spanish 												Mono
LREC2010	2010	691X-J6E7B6D6B3		Ontology		Multi-API		"Newly created-in progress"		LI												Mono
